match_id,date,year,league,team_id,teamname,opp_team_id,opp_teamname,side,duration,result,teamkills,oppkills,towers,opp_towers,roshans,opp_roshans,barracks,opp_barracks
8630246804,2026-01-01T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,8629315,Wiser Warriors,radiant,1480,1,21,12,6,1,0,0,1,0
8630283166,2026-01-01T00:00:00.000Z,2026,Destiny League,9768002,Lunar Vibes,8629315,Wiser Warriors,dire,1982,1,41,21,5,4,1,1,4,0
8630283166,2026-01-01T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9768002,Lunar Vibes,radiant,1982,0,21,41,4,5,1,1,0,4
8630293446,2026-01-01T00:00:00.000Z,2026,Destiny League,9767998,Nova Pulse,9425656,LSG,dire,1453,1,27,16,5,4,1,0,2,0
8630293446,2026-01-01T00:00:00.000Z,2026,Destiny League,9425656,LSG,9767998,Nova Pulse,radiant,1453,0,16,27,4,5,0,1,0,2
8630300765,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9879307,Air Defence,8831040,Ghost Sheep,dire,1681,0,18,55,1,6,0,1,0,4
8630300765,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,8831040,Ghost Sheep,9879307,Air Defence,radiant,1681,1,55,18,6,1,1,0,4,0
8630340540,2026-01-01T00:00:00.000Z,2026,Destiny League,9425656,LSG,9767998,Nova Pulse,dire,1559,1,41,20,6,2,0,0,2,0
8630340540,2026-01-01T00:00:00.000Z,2026,Destiny League,9767998,Nova Pulse,9425656,LSG,radiant,1559,0,20,41,2,6,0,0,0,2
8630386725,2026-01-01T00:00:00.000Z,2026,Destiny League,9767998,Nova Pulse,9425656,LSG,dire,1581,1,31,12,6,2,0,0,2,0
8630386725,2026-01-01T00:00:00.000Z,2026,Destiny League,9425656,LSG,9767998,Nova Pulse,radiant,1581,0,12,31,2,6,0,0,0,2
8630393108,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,8831040,Ghost Sheep,9828921,Air Defence,dire,1965,1,59,36,9,1,1,0,4,0
8630393108,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9828921,Air Defence,8831040,Ghost Sheep,radiant,1965,0,36,59,1,9,0,1,0,4
8630420436,2026-01-01T00:00:00.000Z,2026,肛宝联赛-老婆杯,10008991,梨别管,3787312,NC,dire,3313,0,42,40,6,6,1,2,0,2
8630420436,2026-01-01T00:00:00.000Z,2026,肛宝联赛-老婆杯,3787312,NC,10008991,梨别管,radiant,3313,1,40,42,6,6,2,1,2,0
8630444851,2026-01-01T00:00:00.000Z,2026,Destiny League,9878494,LV United,9426115,Dark Rebellion,dire,1581,0,21,39,3,7,0,1,0,2
8630444851,2026-01-01T00:00:00.000Z,2026,Destiny League,9426115,Dark Rebellion,9878494,LV United,radiant,1581,1,39,21,7,3,1,0,2,0
8630513959,2026-01-01T00:00:00.000Z,2026,Destiny League,9426115,Dark Rebellion,9878494,LV United,dire,1294,1,41,23,7,1,1,0,0,0
8630513959,2026-01-01T00:00:00.000Z,2026,Destiny League,9878494,LV United,9426115,Dark Rebellion,radiant,1294,0,23,41,1,7,0,1,0,0
8630542569,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,8831040,Ghost Sheep,9820361,Team Yakuza,dire,1547,0,26,43,3,2,0,0,0,2
8630542569,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9820361,Team Yakuza,8831040,Ghost Sheep,radiant,1547,1,43,26,2,3,0,0,2,0
8630563472,2026-01-01T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9768243,Night Force,dire,1729,0,35,35,4,5,0,1,0,4
8630563472,2026-01-01T00:00:00.000Z,2026,Destiny League,9768243,Night Force,8629315,Wiser Warriors,radiant,1729,1,35,35,5,4,1,0,4,0
8630610063,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9820361,Team Yakuza,8831040,Ghost Sheep,dire,2260,0,39,39,6,3,2,0,0,0
8630610063,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,8831040,Ghost Sheep,9820361,Team Yakuza,radiant,2260,1,39,39,3,6,0,2,0,0
8630626806,2026-01-01T00:00:00.000Z,2026,Destiny League,9768243,Night Force,8629315,Wiser Warriors,dire,1810,1,42,24,8,1,0,0,2,0
8630626806,2026-01-01T00:00:00.000Z,2026,Destiny League,8629315,Wiser Warriors,9768243,Night Force,radiant,1810,0,24,42,1,8,0,0,0,2
8630684878,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9820361,Team Yakuza,9636142,Ghost Sheep,dire,1840,1,55,24,3,4,1,0,2,0
8630684878,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9636142,Ghost Sheep,9820361,Team Yakuza,radiant,1840,0,24,55,4,3,0,1,0,2
8630765623,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9718665,Eye Gaming,9710058,Shinigami Gaming,dire,1417,1,31,12,3,0,1,0,1,0
8630765623,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9710058,Shinigami Gaming,9718665,Eye Gaming,radiant,1417,0,12,31,0,3,0,1,0,1
8630818178,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9710058,Shinigami Gaming,9718665,Eye Gaming,dire,2496,1,41,34,7,5,1,1,2,1
8630818178,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9718665,Eye Gaming,9710058,Shinigami Gaming,radiant,2496,0,34,41,5,7,1,1,1,2
8630891333,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9710058,Shinigami Gaming,9718665,Eye Gaming,dire,2304,1,51,32,2,5,1,1,2,0
8630891333,2026-01-01T00:00:00.000Z,2026,Ultras Dota Pro League  2025-26,9718665,Eye Gaming,9710058,Shinigami Gaming,radiant,2304,0,32,51,5,2,1,1,0,2
8630966219,2026-01-01T00:00:00.000Z,2026,Dota 2 Space League,8849817,ZEUS THUNDER GOD,8987220,HolyTeam,dire,1684,0,21,26,1,5,0,1,0,0
